intercambiador_id,cantidad_infraestructura,cantidad_modos,modos,nombre_referencias,radio_cluster_m,ferrocarril,subte,autobus,fluvial,tranvia,score_intercambiador
238,4,2,AUTOBUS|FERROCARRIL,Don Bosco | Estación Don Bosco,32.3714439828506,1,0,1,0,0,43.0
239,2,2,AUTOBUS|FERROCARRIL,La Noria,3.378050143395997,1,0,1,0,0,39.0
240,4,2,AUTOBUS|FERROCARRIL,Tristán Suárez | Estación Tristán Suárez,56.51317963571866,1,0,1,0,0,43.0
241,4,2,AUTOBUS|FERROCARRIL,Máximo Paz | Estación Máximo Paz,68.91725208928308,1,0,1,0,0,43.0
242,3,2,AUTOBUS|FERROCARRIL,Querandí,8.343002814606345,1,0,1,0,0,41.0
243,10,2,AUTOBUS|FERROCARRIL,Villa Madero | Vélez y Blanco Encalada | Estación Villa Madero | Rosetti y Álvarez | Blanco Encalada y Rosetti | La Bajada y General Paz | a González Catán,251.3075413701521,1,0,1,0,0,55.0
244,6,2,AUTOBUS|FERROCARRIL,Merlo Gómez | Estación Merlo Gómez | Stevenson y Jordán,82.09843025669215,1,0,1,0,0,47.0
245,4,2,AUTOBUS|FERROCARRIL,San Fernando R | Tren de la Costa,81.53670016321114,1,0,1,0,0,43.0
246,20,2,AUTOBUS|FERROCARRIL,Canal San Fernando | Italia y Brown | Tren de la Costa,199.98755467064606,1,0,1,0,0,65.0
247,3,2,AUTOBUS|FERROCARRIL,Marina Nueva,6.902403311710866,1,0,1,0,0,41.0
248,3,2,AUTOBUS|FERROCARRIL,General Hornos,8.19626111317743,1,0,1,0,0,41.0
249,4,2,AUTOBUS|FERROCARRIL,Marcos Paz | Marcos Paz (Sarmiento),30.59476314573286,1,0,1,0,0,43.0
250,3,2,AUTOBUS|FERROCARRIL,Tomás Jofré,16.688262625231257,1,0,1,0,0,41.0
251,5,2,AUTOBUS|FERROCARRIL,Villars | Estación Villars,38.96093639894298,1,0,1,0,0,45.0
252,3,2,AUTOBUS|FERROCARRIL,Doctor Domingo Cabred,8.756922086727089,1,0,1,0,0,41.0
253,14,2,AUTOBUS|FERROCARRIL,San Antonio de Padua | Godoy Cruz y 12 de Octubre | Sullivan | Rivadavia y Echeverría | Ayacucho e Italia | Noguera y Volta | Padua,243.72742577603978,1,0,1,0,0,63.0
254,4,2,AUTOBUS|FERROCARRIL,Los Polvorines,43.704943971656036,1,0,1,0,0,43.0
255,3,2,AUTOBUS|FERROCARRIL,Villa Domínico,7.459906237183387,1,0,1,0,0,41.0
256,4,2,AUTOBUS|FERROCARRIL,Wilde,66.19002771201365,1,0,1,0,0,43.0
257,5,2,AUTOBUS|FERROCARRIL,Villa España | Estación Villa España,43.11881905980582,1,0,1,0,0,45.0
