id,id_h3,hora,modo,cantidad_trx
422,88c2e31221fffff,0,COLECTIVO,4
423,88c2e31223fffff,0,COLECTIVO,1
424,88c2e31225fffff,0,COLECTIVO,16
425,88c2e31227fffff,0,COLECTIVO,4
426,88c2e31229fffff,0,COLECTIVO,3
427,88c2e3122bfffff,0,COLECTIVO,6
428,88c2e3122dfffff,0,COLECTIVO,13
429,88c2e31231fffff,0,COLECTIVO,1
430,88c2e31233fffff,0,COLECTIVO,2
431,88c2e31237fffff,0,COLECTIVO,12
432,88c2e3123bfffff,0,COLECTIVO,5
433,88c2e3123dfffff,0,COLECTIVO,2
434,88c2e31241fffff,0,COLECTIVO,13
435,88c2e31243fffff,0,COLECTIVO,13
436,88c2e31245fffff,0,COLECTIVO,1
437,88c2e31249fffff,0,COLECTIVO,8
438,88c2e3124bfffff,0,COLECTIVO,5
439,88c2e3124dfffff,0,COLECTIVO,7
440,88c2e31251fffff,0,COLECTIVO,6
441,88c2e31253fffff,0,COLECTIVO,7
442,88c2e31255fffff,0,COLECTIVO,2
443,88c2e31257fffff,0,COLECTIVO,5
444,88c2e31259fffff,0,COLECTIVO,2
445,88c2e3125bfffff,0,COLECTIVO,5
446,88c2e3125dfffff,0,COLECTIVO,13
447,88c2e31263fffff,0,COLECTIVO,5
448,88c2e3126dfffff,0,COLECTIVO,5
449,88c2e31283fffff,0,COLECTIVO,19
450,88c2e31285fffff,0,COLECTIVO,22
451,88c2e31287fffff,0,COLECTIVO,10
452,88c2e31289fffff,0,COLECTIVO,14
453,88c2e3128bfffff,0,COLECTIVO,27
454,88c2e3128dfffff,0,COLECTIVO,24
455,88c2e31291fffff,0,COLECTIVO,44
456,88c2e31293fffff,0,COLECTIVO,15
457,88c2e31297fffff,0,COLECTIVO,21
458,88c2e31299fffff,0,COLECTIVO,3
459,88c2e3129bfffff,0,COLECTIVO,28
460,88c2e3129dfffff,0,COLECTIVO,11
461,88c2e312a1fffff,0,COLECTIVO,6
462,88c2e312a5fffff,0,COLECTIVO,28
463,88c2e312a7fffff,0,COLECTIVO,30
464,88c2e312a9fffff,0,COLECTIVO,14
465,88c2e312abfffff,0,COLECTIVO,7
466,88c2e312adfffff,0,COLECTIVO,5
467,88c2e312b3fffff,0,COLECTIVO,21
468,88c2e312b5fffff,0,COLECTIVO,7
469,88c2e312b7fffff,0,COLECTIVO,49
470,88c2e312b9fffff,0,COLECTIVO,9
471,88c2e312bbfffff,0,COLECTIVO,38
472,88c2e312bdfffff,0,COLECTIVO,15
473,88c2e312c1fffff,0,COLECTIVO,6
474,88c2e312c3fffff,0,COLECTIVO,27
475,88c2e312c5fffff,0,COLECTIVO,6
476,88c2e312c7fffff,0,COLECTIVO,6
477,88c2e312c9fffff,0,COLECTIVO,16
478,88c2e312cdfffff,0,COLECTIVO,8
479,88c2e312d1fffff,0,COLECTIVO,9
480,88c2e312d3fffff,0,COLECTIVO,1
481,88c2e312d5fffff,0,COLECTIVO,9
482,88c2e312d7fffff,0,COLECTIVO,3
483,88c2e312d9fffff,0,COLECTIVO,127
484,88c2e312dbfffff,0,COLECTIVO,8
485,88c2e312ddfffff,0,COLECTIVO,42
486,88c2e312e1fffff,0,COLECTIVO,18
487,88c2e312e3fffff,0,COLECTIVO,23
488,88c2e312e5fffff,0,COLECTIVO,6
489,88c2e312e7fffff,0,COLECTIVO,18
490,88c2e312e9fffff,0,COLECTIVO,8
491,88c2e312ebfffff,0,COLECTIVO,36
492,88c2e312edfffff,0,COLECTIVO,3
493,88c2e31305fffff,0,COLECTIVO,1
494,88c2e31309fffff,0,COLECTIVO,1
495,88c2e3130bfffff,0,COLECTIVO,3
496,88c2e3130dfffff,0,COLECTIVO,3
497,88c2e31311fffff,0,COLECTIVO,8
498,88c2e31313fffff,0,COLECTIVO,5
499,88c2e31315fffff,0,COLECTIVO,75
500,88c2e31317fffff,0,COLECTIVO,228
501,88c2e31319fffff,0,COLECTIVO,3
502,88c2e3131dfffff,0,COLECTIVO,15
503,88c2e31321fffff,0,COLECTIVO,2
504,88c2e31323fffff,0,COLECTIVO,6
505,88c2e31325fffff,0,COLECTIVO,106
506,88c2e31327fffff,0,COLECTIVO,7
507,88c2e31329fffff,0,COLECTIVO,4
508,88c2e3132bfffff,0,COLECTIVO,3
509,88c2e3132dfffff,0,COLECTIVO,7
510,88c2e31331fffff,0,COLECTIVO,1
511,88c2e31333fffff,0,COLECTIVO,7
512,88c2e31335fffff,0,COLECTIVO,10
513,88c2e31337fffff,0,COLECTIVO,1
514,88c2e31339fffff,0,COLECTIVO,2
515,88c2e3133bfffff,0,COLECTIVO,5
516,88c2e31341fffff,0,COLECTIVO,6
517,88c2e31343fffff,0,COLECTIVO,1
518,88c2e31345fffff,0,COLECTIVO,3
519,88c2e31347fffff,0,COLECTIVO,3
520,88c2e31349fffff,0,COLECTIVO,2
521,88c2e3134dfffff,0,COLECTIVO,5
522,88c2e31357fffff,0,COLECTIVO,22
523,88c2e31359fffff,0,COLECTIVO,3
524,88c2e3135bfffff,0,COLECTIVO,10
525,88c2e31361fffff,0,COLECTIVO,5
526,88c2e31367fffff,0,COLECTIVO,1
527,88c2e31369fffff,0,COLECTIVO,4
528,88c2e3136bfffff,0,COLECTIVO,7
529,88c2e3136dfffff,0,COLECTIVO,3
530,88c2e31401fffff,0,COLECTIVO,4
531,88c2e31423fffff,0,COLECTIVO,1
532,88c2e31429fffff,0,COLECTIVO,2
533,88c2e3142bfffff,0,COLECTIVO,3
534,88c2e31435fffff,0,COLECTIVO,3
535,88c2e31437fffff,0,COLECTIVO,1
536,88c2e3143dfffff,0,COLECTIVO,9
537,88c2e31443fffff,0,COLECTIVO,1
538,88c2e31461fffff,0,COLECTIVO,5
539,88c2e31463fffff,0,COLECTIVO,1
540,88c2e31465fffff,0,COLECTIVO,2
541,88c2e31467fffff,0,COLECTIVO,13
542,88c2e3146bfffff,0,COLECTIVO,1
543,88c2e31495fffff,0,COLECTIVO,2
544,88c2e31499fffff,0,COLECTIVO,1
545,88c2e3149dfffff,0,COLECTIVO,3
546,88c2e314a5fffff,0,COLECTIVO,4
547,88c2e314b1fffff,0,COLECTIVO,84
548,88c2e314b3fffff,0,COLECTIVO,5
549,88c2e314b5fffff,0,COLECTIVO,15
550,88c2e314bbfffff,0,COLECTIVO,1
551,88c2e314d3fffff,0,COLECTIVO,1
552,88c2e31501fffff,0,COLECTIVO,8
553,88c2e31503fffff,0,COLECTIVO,1
554,88c2e3150bfffff,0,COLECTIVO,10
555,88c2e31513fffff,0,COLECTIVO,1
556,88c2e31515fffff,0,COLECTIVO,2
557,88c2e31519fffff,0,COLECTIVO,6
558,88c2e3151dfffff,0,COLECTIVO,3
559,88c2e31521fffff,0,COLECTIVO,1
560,88c2e31523fffff,0,COLECTIVO,14
561,88c2e31525fffff,0,COLECTIVO,8
562,88c2e31529fffff,0,COLECTIVO,8
563,88c2e3152bfffff,0,COLECTIVO,1
564,88c2e3152dfffff,0,COLECTIVO,26
