ranking_final_proyecto_v4,proyecto_id,escenario_id,tipo_escenario,dimension_dominante,prioridad_escenario,prioridad_territorial_v4,prioridad_operativa_v4,categoria_cartera_v4,linea_estrategica_v4,horizonte_intervencion_v4,score_final_proyecto_v4
52,AMBA-P084,AMBA-E004,ESCENARIO_DE_NECESIDAD,DEFICIT,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,REDUCCION_DE_BRECHAS,MEDIANO_PLAZO,50.59085007835929
53,AMBA-P089,AMBA-E004,ESCENARIO_DE_NECESIDAD,DEFICIT,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,REDUCCION_DE_BRECHAS,MEDIANO_PLAZO,50.59085007835929
54,AMBA-P093,AMBA-E004,ESCENARIO_DE_NECESIDAD,DEFICIT,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,REDUCCION_DE_BRECHAS,MEDIANO_PLAZO,50.59085007835929
55,AMBA-P098,AMBA-E004,ESCENARIO_DE_NECESIDAD,DEFICIT,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,REDUCCION_DE_BRECHAS,MEDIANO_PLAZO,50.59085007835929
56,AMBA-P099,AMBA-E004,ESCENARIO_DE_NECESIDAD,DEFICIT,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,REDUCCION_DE_BRECHAS,MEDIANO_PLAZO,50.59085007835929
57,AMBA-P100,AMBA-E004,ESCENARIO_DE_NECESIDAD,DEFICIT,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,REDUCCION_DE_BRECHAS,MEDIANO_PLAZO,50.59085007835929
58,AMBA-P102,AMBA-E004,ESCENARIO_DE_NECESIDAD,DEFICIT,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,REDUCCION_DE_BRECHAS,MEDIANO_PLAZO,50.59085007835929
59,AMBA-P114,AMBA-E004,ESCENARIO_DE_NECESIDAD,DEFICIT,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,REDUCCION_DE_BRECHAS,MEDIANO_PLAZO,50.59085007835929
60,AMBA-P131,AMBA-E004,ESCENARIO_DE_NECESIDAD,DEFICIT,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,REDUCCION_DE_BRECHAS,MEDIANO_PLAZO,50.59085007835929
61,AMBA-P140,AMBA-E004,ESCENARIO_DE_NECESIDAD,DEFICIT,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,REDUCCION_DE_BRECHAS,MEDIANO_PLAZO,50.59085007835929
62,AMBA-P020,AMBA-E002,ESCENARIO_ESTRATEGICO,CONECTIVIDAD,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,CONECTIVIDAD_METROPOLITANA,MEDIANO_PLAZO,49.49171547237356
63,AMBA-P026,AMBA-E002,ESCENARIO_ESTRATEGICO,CONECTIVIDAD,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,CONECTIVIDAD_METROPOLITANA,MEDIANO_PLAZO,49.49171547237356
64,AMBA-P040,AMBA-E002,ESCENARIO_ESTRATEGICO,CONECTIVIDAD,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,CONECTIVIDAD_METROPOLITANA,MEDIANO_PLAZO,49.49171547237356
