id_h3,provincia,jurisdiccion,operaciones_totales,categoria_demanda,hora_pico,modo_dominante,metodo_asignacion,distancia_asignacion_m
88c2e38539fffff,Buenos Aires,Merlo,121,DEMANDA_MEDIA,7,COLECTIVO,REPRESENTATIVE_POINT,
88c2e315a1fffff,Buenos Aires,San Isidro,121,DEMANDA_MEDIA,17,COLECTIVO,REPRESENTATIVE_POINT,
88c2e3c20bfffff,Buenos Aires,Florencio Varela,121,DEMANDA_MEDIA,8,COLECTIVO,REPRESENTATIVE_POINT,
88c2e232bbfffff,Buenos Aires,Berisso,121,DEMANDA_MEDIA,16,COLECTIVO,REPRESENTATIVE_POINT,
88c2eedae3fffff,Buenos Aires,Exaltación de la Cruz,121,DEMANDA_MEDIA,19,COLECTIVO,REPRESENTATIVE_POINT,
88c2e382b3fffff,Buenos Aires,La Matanza,121,DEMANDA_MEDIA,8,COLECTIVO,REPRESENTATIVE_POINT,
88c2e3c423fffff,Buenos Aires,Quilmes,121,DEMANDA_MEDIA,8,COLECTIVO,REPRESENTATIVE_POINT,
88c2e3a8bdfffff,Buenos Aires,Escobar,121,DEMANDA_MEDIA,6,COLECTIVO,REPRESENTATIVE_POINT,
88c2eec9edfffff,Buenos Aires,Campana,121,DEMANDA_MEDIA,12,COLECTIVO,REPRESENTATIVE_POINT,
88c2e3a803fffff,Buenos Aires,Malvinas Argentinas,121,DEMANDA_MEDIA,7,COLECTIVO,REPRESENTATIVE_POINT,
88c2e339ddfffff,Buenos Aires,San Fernando,121,DEMANDA_MEDIA,11,COLECTIVO,REPRESENTATIVE_POINT,
88c2e3b925fffff,Buenos Aires,Hurlingham,120,DEMANDA_MEDIA,7,COLECTIVO,REPRESENTATIVE_POINT,
88c2e3d967fffff,Buenos Aires,Ensenada,120,DEMANDA_MEDIA,7,COLECTIVO,REPRESENTATIVE_POINT,
88c2e3d701fffff,Buenos Aires,Florencio Varela,120,DEMANDA_MEDIA,6,COLECTIVO,REPRESENTATIVE_POINT,
88c2ee574dfffff,Buenos Aires,Zárate,120,DEMANDA_MEDIA,6,COLECTIVO,REPRESENTATIVE_POINT,
